Observation Number,dist_cod,county,district,gr_span,enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
1,75119,Alameda,Sunol Glen Unified,KK-08,195,10.89999962,0.510200024,2.040800095,67,690.7999878,0.343589753,6384.911133,17.88990974,22.69000053,0,691.5999756,690
2,61499,Butte,Manzanita Elementary,KK-08,240,11.14999962,15.41670036,47.91669846,101,661.2000122,0.420833319,5099.380859,21.52466393,9.824000359,4.583333492,660.5,661.9000244
3,61549,Butte,Thermalito Union Elementary,KK-08,1550,82.90000153,55.03229904,76.32260132,169,643.5999756,0.109032258,5501.95459,18.69722557,8.977999687,30.00000191,636.2999878,650.9000244
4,61457,Butte,Golden Feather Union Elementary,KK-08,243,14,36.47539902,77.04920197,85,647.7000122,0.349794239,7101.831055,17.3571434,8.977999687,0,651.9000244,643.5
5,61523,Butte,Palermo Union Elementary,KK-08,1335,71.5,33.10860062,78.42700195,171,640.8499756,0.12808989,5235.987793,18.6713295,9.080332756,13.85767746,641.7999878,639.9000244
6,62042,Fresno,Burrel Union Elementary,KK-08,137,6.400000095,12.31879997,86.95649719,25,605.5500488,0.182481751,5580.146973,21.40625,10.41499996,12.40875912,605.7000122,605.4000244
7,68536,San Joaquin,Holt Union Elementary,KK-08,195,10,12.90320015,94.623703,28,606.75,0.14358975,5253.331055,19.5,6.577000141,68.71794891,604.5,609
8,63834,Kern,Vineland Elementary,KK-08,888,42.5,18.80629921,100,66,609,0.074324325,4565.746094,20.89411736,8.173999786,46.95946121,605.5,612.5
9,62331,Fresno,Orange Center Elementary,KK-08,379,19,32.18999863,93.13980103,35,612.5,0.092348285,5355.54834,19.94736862,7.385000229,30.07915688,608.9000244,616.0999756
10,67306,Sacramento,Del Paso Heights Elementary,KK-06,2247,108,78.99420166,87.31639862,0,612.6500244,0,5036.211426,20.80555534,11.61333275,40.27592087,611.9000244,613.4000244
11,65722,Merced,Le Grand Union Elementary,KK-08,446,21,18.60989952,85.87439728,86,615.75,0.192825109,4547.692383,21.23809433,8.930999756,52.91479874,612.7999878,618.7000122
12,62174,Fresno,West Fresno Elementary,KK-08,987,47,71.71309662,98.60559845,56,616.2999878,0.056737587,5447.345215,21,7.385000229,54.60993195,616.5999756,616
13,71795,Tulare,Allensworth Elementary,KK-08,103,5,22.42989922,98.13079834,25,616.2999878,0.242718443,6567.149414,20.60000038,5.335000038,42.71844482,612.7999878,619.7999878
14,72181,Tulare,Sunnyside Union Elementary,KK-08,487,24.34000015,24.6093998,77.14839935,0,616.2999878,0,4818.612793,20.00821686,8.279000282,20.53388023,610,622.5999756
15,72298,Tulare,Woodville Elementary,KK-08,649,36,14.63790035,76.27120209,31,616.4500122,0.047765795,5621.456055,18.02777863,9.630000114,80.1232605,611.9000244,621
16,72041,Tulare,Pixley Union Elementary,KK-08,852,42.06999969,24.21419907,94.29570007,80,617.3499756,0.093896717,6026.359863,20.25196075,7.453999996,49.41314316,614.7999878,619.9000244
17,63594,Kern,Lost Hills Union Elementary,KK-08,491,28.92000008,11.20160007,97.75969696,100,618.0500488,0.203665987,6723.237793,16.97786903,6.21600008,85.53971863,611.7000122,624.4000244
18,63370,Kern,Buttonwillow Union Elementary,KK-08,421,25.5,8.551099777,77.90969849,50,618.3000488,0.118764848,5589.885254,16.50980377,7.763999939,58.90736389,614.9000244,621.7000122
19,64709,Los Angeles,Lennox Elementary,KK-08,6880,303.0299988,21.28240013,94.97119904,960,619.7999878,0.139534891,5064.615723,22.70402336,7.021999836,77.0058136,619.0999756,620.5
20,63560,Kern,Lamont Elementary,KK-08,2688,135,23.4375,93.22920227,139,620.2999878,0.05171131,5433.593262,19.91111183,5.698999882,49.81398773,621.2999878,619.2999878
21,63230,Imperial,Westmorland Union Elementary,KK-08,440,24,34.77270126,100,69,620.5,0.156818181,5725.563477,18.33333397,7.940999985,40.68181992,615.5999756,625.4000244
22,72058,Tulare,Pleasant View Elementary,KK-08,475,21,21.64949989,91.54640198,53,621.4000244,0.111578949,4542.10498,22.61904716,9.630000114,16.21052551,619.9000244,622.9000244
23,63842,Kern,Wasco Union Elementary,KK-08,2538,130.5,18.91110039,70.8167038,169,621.75,0.066587865,5107.086426,19.44827652,7.40500021,45.07486343,622.9000244,620.5999756
24,71811,Tulare,Alta Vista Elementary,KK-08,476,19,43.85589981,100,0,622.0500488,0,4659.661621,25.05263138,9.630000114,39.07563019,620.7000122,623.4000244
25,65748,Merced,Livingston Union Elementary,KK-08,2357,114,16.8010006,90.623703,216,622.5999756,0.091641918,4555.464355,20.67543793,8.019000053,76.66525269,619.5,625.7000122
26,72272,Tulare,Woodlake Union Elementary,KK-08,1588,85,22.40719986,85.14720154,198,623.0999756,0.124685138,5415.152832,18.68235207,8.522999763,40.49118423,625,621.2000122
27,65961,Monterey,Alisal Union Elementary,KK-06,7306,319.7999878,17.00149918,88.03489685,742,623.2000122,0.101560362,4997.871582,22.84552956,7.983181477,73.7202301,620.4000244,626
28,63313,Kern,Arvin Union Elementary,KK-08,2601,135,15.07110023,92.19529724,269,623.4500122,0.103421763,5223.912109,19.26666641,7.304999828,70.01153564,616.5,630.4000244
29,72199,Tulare,Terra Bella Union Elementary,KK-08,847,44,16.2928009,90.20069885,67,623.5999756,0.079102717,5139.164551,19.25,8.934000015,55.96221542,620.0999756,627.0999756
30,72215,Tulare,Tipton Elementary,KK-08,452,22,14.49890041,81.02349854,55,624.1500244,0.121681415,4614.251953,20.54545403,8.553999901,11.06194687,627.9000244,620.4000244
31,68379,San Diego,San Ysidro Elementary,KK-08,4142,201,35.5625,81.50650024,569,624.5500488,0.137373254,5342.233398,20.60696602,6.612999916,80.42008972,620.4000244,628.7000122
32,75440,Monterey,Soledad Unified,KK-08,2102,99.75,15.31989956,90.28489685,224,624.9500122,0.106565177,5347.458496,21.07268143,12.4090004,63.13035583,623,626.9000244
33,64816,Los Angeles,Mountain View Elementary,KK-08,10012,464.8999939,29.76390076,91.59339905,721,625.2999878,0.072013587,5036.458984,21.53581429,8.126615524,65.12185669,620.7999878,629.7999878
34,66050,Monterey,King City Union Elementary,KK-08,2488,125,12.69200039,55.0929985,202,625.8499756,0.081189707,5117.141602,19.90399933,11.43099976,53.41640091,626.0999756,625.5999756
35,67819,San Bernardino,Ontario-Montclair Elementary,KK-08,25151,1186.699951,17.44260025,80.19560242,1713,626.0999756,0.068108626,5117.039551,21.19406891,11.72222519,49.82307053,625.4000244,626.7999878
36,64758,Los Angeles,Los Nietos Elementary,KK-08,2267,103.6800003,19.15169907,84.43379974,177,626.8000488,0.07807675,5272.191895,21.86535454,11.33250046,35.46537018,625.4000244,628.2000122
37,65870,Merced,Winton Elementary,KK-08,1657,90.40000153,28.84729958,84.73139954,204,626.9000244,0.123114064,5225.719238,18.32964516,9.597999573,56.12552643,623.5999756,630.2000122
38,62380,Fresno,Raisin City Elementary,KK-08,284,17.5,14.52700043,94.93240356,18,627.0999756,0.063380279,6516.533203,16.22857094,14.55799961,32.39436722,628.9000244,625.2999878
39,68999,San Mateo,Ravenswood City Elementary,KK-08,5370,280,19.57169914,81.11730194,562,627.25,0.104655497,4559.176758,19.1785717,22.05999947,65.51210022,624.4000244,630.0999756
40,63578,Kern,Richland-Lerdo Union Elementary,KK-08,2471,121.8600006,23.79599953,87.77819824,275,627.2999878,0.111290976,5119.158203,20.27736664,9.708999634,53.05544281,627.5,627.0999756
41,72538,Ventura,Oxnard Elementary,KK-08,15386,669.3599854,12.50640011,71.43309784,1762,628.25,0.114519693,5338.185547,22.98613739,11.48294449,49.64253235,627.7999878,628.7000122
42,65680,Merced,El Nido Elementary,KK-08,184,9,22.2826004,85.86959839,40,628.4000244,0.217391297,5090.044922,20.44444466,8.17800045,45.10869598,621.5999756,635.2000122
43,63461,Kern,Fairfax Elementary,KK-08,1217,61.40000153,33.90800095,88.09519958,78,628.5500488,0.064092033,5485.496094,19.82084656,8.173999786,30.32045937,629.4000244,627.7000122
44,63404,Kern,Delano Union Elementary,KK-08,6219,268,21.49860001,100,571,628.6500244,0.091815405,4793.370117,23.20522308,7.5,52.24312592,621.0999756,636.2000122
45,67199,Riverside,Perris Elementary,KK-06,4258,221,24.65950012,92.74310303,324,628.75,0.076092064,5092.91748,19.26696777,10.05049992,36.80131531,626.5,631
46,65078,Los Angeles,Valle Lindo Elementary,KK-08,1235,53,8.218299866,62.13019943,175,629.8000488,0.141700402,4359.520996,23.30188751,7.331999779,30.28339958,630.2000122,629.4000244
47,69369,Santa Clara,Alum Rock Union Elementary,KK-08,16244,766.6500244,17.4531002,69.73989868,1423,630.3499756,0.087601572,5645.495605,21.18828583,12.5815773,49.8645668,629.5,631.2000122
48,63438,Kern,Edison Elementary,KK-08,814,39,19.77890015,67.44470215,85,630.4000244,0.104422607,4518.016113,20.87179565,15.17700005,13.75921345,631.9000244,628.9000244
49,63321,Kern,Bakersfield City Elementary,KK-08,27176,1429,39.21839905,84.29499817,3324,630.5499878,0.122313805,5864.366211,19.0174942,12.109128,28.86370468,631.5999756,629.5
50,69450,Santa Clara,Franklin-McKinley Elementary,KK-08,10696,487.9700012,22.15780067,70.89569855,1306,630.5499878,0.122101717,5257.996582,21.91938019,11.78499985,52.80478668,628.5,632.5999756
51,64592,Los Angeles,Hawthorne Elementary,KK-08,8935,444.5,36.94509888,79.51200104,786,631.0500488,0.087968662,5016.692383,20.10123825,14.06200027,44.08506012,628.4000244,633.7000122
52,65193,Madera,Chowchilla Elementary,KK-08,1600,74.5,27.26140022,79.72550201,242,631.4000244,0.151250005,4720.086426,21.476511,10.47200012,35.25,635.7000122,627.0999756
53,66142,Monterey,Salinas City Elementary,KK-06,9028,449.9200134,13.98849964,69.94249725,669,631.8499756,0.074102789,5470.5625,20.06578827,13.40511703,37.49446106,633,630.7000122
54,69120,Santa Barbara,Santa Maria-Bonita Elementary,KK-08,10625,521.4699707,7.497499943,77.52559662,896,631.9000244,0.084329411,5615.441895,20.37509537,12.30179977,50.39059067,629.5999756,634.2000122
55,65110,Los Angeles,Whittier City Elementary,KK-08,7151,318.5799866,18.54809952,61.73820114,560,631.9500122,0.078310728,5245.439941,22.4464817,15.40407085,31.07257843,634.2000122,629.7000122
56,64477,Los Angeles,Eastside Union Elementary,KK-08,2404,105,20.92740059,52.94350052,202,632,0.08402662,4838.175293,22.89523888,13.76200008,18.26123238,633.5,630.5
57,64691,Los Angeles,Lawndale Elementary,KK-08,5804,283.1499939,28.34250069,81.11650085,480,632.2000122,0.082701586,5367.988281,20.49797058,14.18400002,34.70020676,631.4000244,633
58,67421,Sacramento,Robla Elementary,KK-06,2253,112.6500015,43.49760056,84.55390167,196,632.25,0.086995117,5526.236816,20,8.864999771,33.28894806,637.5,627
59,66191,Monterey,Santa Rita Union Elementary,KK-08,2807,126.1200027,15.45950031,52.39640045,152,632.4499512,0.054150339,4353.019531,22.25658035,12.99699974,33.48770905,637.2999878,627.5999756
60,72561,Ventura,Rio Elementary,KK-08,3074,142.5500031,11.28979969,66.19490051,249,632.8499756,0.081001952,5034.290039,21.56436348,11.59200001,38.15875244,633.2000122,632.5
61,72157,Tulare,Strathmore Union Elementary,KK-08,723,37.11999893,25.92110062,83.15789795,45,632.9500122,0.062240664,4692.493652,19.47737122,8.279000282,36.92946243,629.2000122,636.7000122
62,67397,Sacramento,North Sacramento Elementary,KK-06,5138,290.7749939,58.75220108,84.99900055,560,633.0499878,0.108991824,5606.781738,17.67002106,10.90564251,32.98949051,630.2999878,635.7999878
63,66423,Orange,Anaheim Elementary,KK-06,20927,953.5,10.91139984,82.39260101,1048,633.1500244,0.050078847,4969.180664,21.94756126,13.40062523,58.21665573,629.5999756,636.7000122
64,63974,Kings,Lemoore Union Elementary,KK-08,3017,138.5,14.97679996,56.06359863,496,633.6500244,0.164401725,4675.674805,21.78339386,11.08100033,17.00364685,634.4000244,632.9000244
65,63875,Kings,Armona Union Elementary,KK-08,957,50,27.16819954,82.13169861,149,633.9000244,0.155694887,5306.132813,19.13999939,9.081999779,17.65935326,634.7000122,633.0999756
66,63339,Kern,Beardsley Elementary,KK-08,1639,90.5,46.88819885,80.60420227,287,634,0.175106779,5693.883301,18.11049652,13.39000034,7.321537495,638.4000244,629.5999756
67,65037,Los Angeles,South Whittier Elementary,KK-08,4340,209.8399963,17.70260048,93.92269897,284,634.0500488,0.065437786,5181.57959,20.68242455,14.60162544,31.19815636,631.9000244,636.2000122
68,63917,Kings,Hanford Elementary,KK-08,5079,224.5,25.55929947,63.80360031,585,634.0999756,0.115180157,5228.650879,22.62360764,11.11600018,16.61744499,637.7000122,630.5
69,68221,San Diego,National Elementary,KK-06,6639,304.730011,26.84140015,100,505,634.0999756,0.076065674,5339.391113,21.78649902,8.423000336,58.08103561,631.5,636.7000122
70,70904,Sonoma,Roseland Elementary,KK-06,1154,62.09999847,22.92770004,84.92060089,129,634.1500244,0.111785099,6056.49707,18.58293152,11.66499996,55.89254379,636.7999878,631.5
71,63420,Kern,Di Giorgio Elementary,KK-08,237,11,19.83119965,76.79319763,13,634.1999512,0.054852322,4845.680176,21.54545403,7.304999828,5.485232353,631.7999878,636.5999756
72,64642,Los Angeles,Keppel Union Elementary,KK-08,2987,141.2100067,21.25880051,68.39640045,273,634.4000244,0.091396049,4826.666016,21.15289116,13.7305994,14.4291935,637.7000122,631.0999756
73,63966,Kings,Lakeside Union Elementary,KK-08,499,30,40.36700058,83.11930084,94,634.5499878,0.188376755,5367.090332,16.63333321,11.11600018,22.84569168,635.5,633.5999756
74,65771,Merced,Merced City Elementary,KK-08,11474,542.6500244,40.55260086,77.0089035,1248,634.7000122,0.108767651,5742.73291,21.14438248,10.36442852,38.78333664,633.2000122,636.2000122
75,69203,Santa Barbara,Guadalupe Union Elementary,KK-08,1088,55,14.15439987,86.02940369,107,634.9000244,0.098345585,4136.250977,19.78181839,6.982999802,64.24632263,631.0999756,638.7000122
76,67694,San Bernardino,Cucamonga Elementary,KK-08,2660,140.1199951,15.76010036,74.85099792,259,634.9499512,0.097368419,5267.831055,18.98372841,14.46780014,25.22556496,637.7999878,632.0999756
77,61705,Contra Costa,Knightsen Elementary,KK-08,353,19.97999954,8.672100067,33.06230164,8,635.0499878,0.022662889,5238.39209,17.66766739,14.65299988,5.382436275,636.5999756,633.5
78,63008,Humboldt,Rio Dell Elementary,KK-08,329,18.53000069,28.91570091,85.54219818,37,635.1999512,0.112462007,5462.899414,17.75499153,10.62899971,6.079027653,644.2999878,626.0999756
79,70417,Siskiyou,Montague Elementary,KK-08,252,16.5,23.45680046,66.25509644,32,635.4500122,0.126984134,6313.373535,15.27272701,9.781000137,0,640.9000244,630
80,70409,Siskiyou,McCloud Union Elementary,KK-08,175,12.5,21.76469994,68.82350159,31,635.5999756,0.177142859,6653.030762,14,10.65600014,0,634.5999756,636.5999756
81,72587,Ventura,Santa Paula Elementary,KK-08,3835,186.1999969,13.99110031,72.8628006,897,635.5999756,0.233898312,5533.149414,20.59613419,11.93799973,34.88917923,633,638.2000122
82,62539,Fresno,West Park Elementary,KK-08,314,19.25,29.93630028,93.63059998,8,635.75,0.025477707,6118.710449,16.31168747,7.385000229,13.05732441,636.7000122,634.7999878
83,65631,Merced,Atwater Elementary,KK-08,4458,211,22.22220039,72.32080078,445,635.9500122,0.099820547,5098.626953,21.12796211,10.67599964,36.0251236,633.2000122,638.7000122
84,65862,Merced,Weaver Union Elementary,KK-08,1313,75.08000183,32.08679962,73.59760284,112,636.0999756,0.08530084,5652.878906,17.48801231,9.972000122,34.65346527,633.9000244,638.2999878
85,62356,Fresno,Pacific Union Elementary,KK-08,474,26.5,21.5189991,75.73840332,36,636.5,0.075949363,5329.002441,17.88679314,8.258000374,28.69198227,634.7000122,638.2999878
86,75051,San Bernardino,Lucerne Valley Unified,KK-08,1114,57.70000076,29.44680023,62.21279907,277,636.5999756,0.248653501,5929.809082,19.30675888,8.895999908,1.795332193,645.4000244,627.7999878
87,67231,Riverside,Romoland Elementary,KK-06,1358,65,14.79030037,80.86830139,178,636.6999512,0.131075114,4897.067871,20.89230728,12.06200027,30.63328552,632.2999878,641.0999756
88,64501,Los Angeles,El Monte City Elementary,KK-08,11629,546.2999878,25.37940025,83.873703,1015,636.9000244,0.087281793,5100.202148,21.28683853,9.428894997,59.0334549,632.4000244,641.4000244
89,63503,Kern,Greenfield Union Elementary,KK-08,6195,306.75,21.04330063,68.57189941,1261,636.9500122,0.203551248,4825.722656,20.1955986,8.920332909,13.55932236,636.2000122,637.7000122
90,72033,Tulare,Palo Verde Union Elementary,KK-08,499,20,23.69939995,80.92489624,35,637,0.07014028,4079.12915,24.95000076,10.09799957,5.010019779,636.0999756,637.9000244
91,67322,Sacramento,Elverta Joint Elementary,KK-08,417,23,19.90410042,46.04320145,27,637.0999756,0.064748198,5349.367676,18.13043404,11.82999992,0.959232628,638,636.2000122
92,64048,Lake,Lucerne Elementary,KK-08,300,15,48.3443985,72.18540192,55,637.3499756,0.183333337,5869.38916,20,11.55300045,0.666666687,640.9000244,633.7999878
93,69542,Santa Clara,Luther Burbank Elementary,KK-08,457,24.39999962,16.81609917,67.71299744,50,637.6500244,0.109409191,6462.12793,18.72950935,19.70700073,38.51203537,644.9000244,630.4000244
94,61382,Butte,Bangor Union Elementary,KK-08,146,8,25.34250069,54.10960007,34,637.9499512,0.232876718,6231.601563,18.25,7.105000019,0,646.0999756,629.7999878
95,68858,San Mateo,Bayshore Elementary,KK-08,460,24.21999931,10.59319973,66.94920349,71,637.9500122,0.154347822,4993.867676,18.99256897,13.72500038,17.17391396,633.2000122,642.7000122
96,72017,Tulare,Oak Valley Union Elementary,KK-08,354,17.79999924,10.27779961,59.72219849,28,638,0.079096042,4663.811035,19.88764191,10.09799957,9.887005806,636.7000122,639.2999878
97,65151,Los Angeles,Wilsona Elementary,KK-08,1841,95,25.25799942,64.74739838,315,638.2000122,0.171102658,6107.106445,19.37894821,13.76200008,19.39163589,640.4000244,636
98,63073,Imperial,Brawley Elementary,KK-08,3760,183.75,26.90159988,65.7960968,717,638.3000488,0.190691486,5324.228027,20.46258545,9.664999962,36.48936081,636.2000122,640.4000244
99,63198,Imperial,Meadows Union Elementary,KK-08,500,22.43000031,18.79999924,83,70,638.3000488,0.140000001,5221.460938,22.29157257,10.26399994,39.39999771,630.4000244,646.2000122
100,64717,Los Angeles,Little Lake City Elementary,KK-08,5112,246.8999939,10.69120026,59.7234993,383,638.3499756,0.07492175,5157.784668,20.70473862,11.56920052,28.67762184,638.5999756,638.0999756
101,63719,Kern,Pond Union Elementary,KK-08,146,7.659999847,13.69859982,66.43840027,28,638.5499878,0.19178082,5131.119141,19.06005287,7.40500021,13.69863033,637.5,639.5999756
102,63800,Kern,Taft City Elementary,KK-08,2141,105.8199997,26.49650002,65.38279724,134,638.7000122,0.062587574,5279.354004,20.23246956,12.07699966,11.34983635,636.9000244,640.5
103,71357,Sutter,Brittan Elementary,KK-08,610,30.97999954,8.524600029,56.06560135,144,639.25,0.236065567,4704.043945,19.6901226,11.28299999,3.442623138,640.2999878,638.2000122
104,65557,Mendocino,Arena Union Elementary,KK-08,337,16.54999924,21.26250076,60.13290024,26,639.3000488,0.077151336,6089.910645,20.36253929,10.03499985,15.43026733,642.7000122,635.9000244
105,67587,San Bernardino,Adelanto Elementary,KK-08,4501,227.8500061,19.12969971,63.9054985,597,639.3499756,0.132637188,5356.833496,19.75422287,8.383999825,17.97378349,639.9000244,638.7999878
106,67470,San Benito,Hollister School District,KK-08,5718,295.0499878,6.84070015,37.04560089,313,639.5,0.054739419,5144.549316,19.37976646,13.63000011,22.71773338,641.4000244,637.5999756
107,64857,Los Angeles,Palmdale Elementary,KK-08,19402,846.3800049,20.52370071,51.24209976,1182,639.75,0.060921554,4906.22998,22.9235096,14.12766743,18.43624496,641.7000122,637.7999878
108,61507,Butte,Oroville City Elementary,KK-08,3401,175.5500031,52.21989822,74.27230072,560,639.7999878,0.164657459,5489.588867,19.37339783,11.26612473,16.17171478,641.5,638.0999756
109,63792,Kern,Standard Elementary,KK-08,2621,136.8300018,25.82979965,64.09770203,397,639.8499756,0.151468903,5718.55127,19.15515518,13.39000034,2.02212882,641.4000244,638.2999878
110,72447,Ventura,Briggs Elementary,KK-08,426,20,3.990600109,64.78869629,87,639.9000244,0.204225346,4436.152832,21.29999924,11.93799973,9.62441349,634.2999878,645.5
111,62323,Fresno,Monroe Elementary,KK-08,205,11.19999981,18.53660011,80.9756012,24,640.0999756,0.117073171,4895.439453,18.3035717,8.258000374,41.46341324,643.5,636.7000122
112,64667,Los Angeles,Lancaster Elementary,KK-08,13668,648.4099731,28.1753006,56.29940033,1321,640.1500244,0.09664911,5159.21875,21.07925606,14.22672749,9.8990345,640.4000244,639.9000244
113,65177,Madera,Alview-Dairyland Union Elementary,KK-08,342,18.20000076,11.39599991,68.09120178,98,640.5,0.286549717,5490.654785,18.79120827,10.47200012,16.08187103,637.7000122,643.2999878
114,66589,Orange,Magnolia Elementary,KK-06,6518,332.1000061,12.27910042,71.02380371,499,640.75,0.076557226,5172.019531,19.62661743,14.24290085,43.4949379,638.5,643
115,71985,Tulare,Liberty Elementary,KK-08,239,12.19999981,15.61180019,69.62030029,30,640.9000244,0.125523016,4441.672852,19.59016418,14.06599998,8.786610603,644.9000244,636.9000244
116,69617,Santa Clara,Mt. Pleasant Elementary,KK-08,2911,139.4700012,11.92850018,52.9734993,281,641.0999756,0.0965304,5220.370117,20.87187195,15.96800041,39.02438736,640.4000244,641.7999878
117,63123,Imperial,El Centro Elementary,KK-08,6272,297.0400085,28.71999931,71.76239777,1338,641.4499512,0.213329077,5252.810547,21.11500168,10.26399994,53.89030457,639.2999878,643.5999756
118,68395,San Diego,South Bay Union Elementary,KK-06,10218,508.75,17.42020035,70.80639648,1435,641.4499512,0.140438437,5518.702148,20.08452034,10.6024704,41.13329315,638.5999756,644.2999878
119,69914,Shasta,Cascade Union Elementary,KK-08,1735,87.13999939,47.2621994,75.50430298,222,641.5499878,0.127953887,5609.487793,19.91048813,10.52299976,1.383285284,640.7999878,642.2999878
120,71969,Tulare,Kings River Union Elementary,KK-08,474,26.61000061,20.67510033,82.06749725,96,641.8000488,0.202531651,4945.031738,17.81285095,11.23799992,35.44303894,638.9000244,644.7000122
121,71548,Tehama,Gerber Union Elementary,KK-08,544,30,20.55050087,74.86239624,145,642.1999512,0.266544104,5223.025391,18.13333321,10.05599976,8.639705658,641.7999878,642.5999756
122,71910,Tulare,Exeter Union Elementary,KK-08,1987,103.3700027,15.28120041,54.65409851,283,642.2000122,0.142425761,4757.025391,19.22221184,11.18299961,15.34977436,637,647.4000244
123,62000,Fresno,American Union Elementary,KK-08,418,22.39999962,10.69649982,63.43280029,50,642.4000244,0.119617224,5522.161621,18.6607151,7.385000229,19.85645866,640.2000122,644.5999756
124,66167,Monterey,San Antonio Union Elementary,KK-08,196,10,19.68910027,47.15029907,40,642.75,0.20408164,6087.608887,19.60000038,13.57900047,3.061224461,652.5999756,632.9000244
125,71837,Tulare,Burton Elementary,KK-08,2208,114.5,14.41399956,53.21060181,92,643.0499878,0.041666668,4960.515625,19.28384209,9.630000114,9.873188019,642,644.0999756
126,67157,Riverside,Nuview Union Elementary,KK-08,1255,55,11.32219982,44.25970078,165,643.1999512,0.131474108,4880.040527,22.81818199,15.27400017,16.09561729,642.5999756,643.7999878
127,70615,Sonoma,Bellevue Union Elementary,KK-06,1469,78.09999847,20.96660042,80.25869751,65,643.25,0.044247787,6538.417969,18.80921936,14.03425026,43.49897766,639.4000244,647.0999756
128,64550,Los Angeles,Garvey Elementary,KK-08,7114,332.8399963,34.59420013,82.57219696,680,643.4000244,0.095586166,4925.659668,21.37363243,10.23966694,45.03795242,638.9000244,647.9000244
129,71498,Tehama,Corning Union Elementary,KK-08,1962,98,24.4151001,67.75180054,170,643.4000244,0.086646281,5204.6875,20.02040863,9.484999657,18.19571877,641.7000122,645.0999756
130,68916,San Mateo,Jefferson Elementary,KK-08,7761,361,6.49119997,44.47660065,658,643.5,0.084782891,4907.410645,21.49861526,15.0298748,15.48769474,644.2000122,642.7999878
131,70185,Siskiyou,Big Springs Union Elementary,KK-08,216,14,9.416999817,48.87889862,47,643.5,0.217592597,5923.45166,15.4285717,9.781000137,0.92592591,652.7000122,634.2999878
132,63487,Kern,General Shafter Elementary,KK-08,224,10,7.14289999,58.03570175,31,643.6999512,0.138392851,4741.957031,22.39999962,13.19200039,7.589285851,633.5999756,653.7999878
133,71308,Stanislaus,Turlock Joint Elementary,KK-08,7887,391.8599854,16.40239906,57.07220078,1004,643.7000122,0.127298087,4954.019531,20.12708664,12.2159996,29.08583832,645.7000122,641.7000122
134,72421,Tuolumne,Twain Harte-Long Barn Union Elementary,KK-08,752,39.5,11.71049976,34.07889938,0,644.1999512,0,5500.10791,19.03797531,14.07600021,0.132978722,652.2999878,636.0999756
135,69005,San Mateo,Redwood City Elementary,KK-08,9328,537.8800049,7.487500191,39.03680038,1719,644.2000122,0.184283882,5360.51709,17.34215736,25.4873333,50.85763168,644.5,643.9000244
136,61846,El Dorado,Camino Union Elementary,KK-08,548,32.20000076,7.664199829,31.38689995,35,644.4000244,0.063868612,5685.63916,17.01863289,14.86699963,11.49635029,652.0999756,636.7000122
137,65813,Merced,Plainsburg Union Elementary,KK-08,104,5,32.38100052,49.5237999,19,644.4500122,0.182692304,5594.196289,20.79999924,9.972000122,13.46153927,649.5,639.4000244
138,68486,San Joaquin,Banta Elementary,KK-08,275,13,12.72729969,45.81819916,4,644.4500122,0.014545455,4692.566895,21.15384674,14.57800007,4.727272511,643.2000122,645.7000122
139,62513,Fresno,Washington Colony Elementary,KK-08,443,24,14.22119999,69.97740173,52,644.5,0.117381491,5085.40625,18.45833397,7.385000229,21.44469452,644.2999878,644.7000122
140,67405,Sacramento,Rio Linda Union Elementary,KK-06,10337,540.0499878,37.22689819,58.54539871,1268,644.5499878,0.12266615,5456.197266,19.14082146,12.34300041,12.35368061,646,643.0999756
